# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 757.5 -39.1074 730228 -120976 54301.3 178.181 266.988 -562.491
2000 2257.5 16.8908 730228 -121117 54171.2 186.027 353.296 -488.651
3000 3757.5 -32.5901 730228 -121258 54190.3 166.242 349.035 -613.047
4000 5257.5 27.1164 730228 -121307 54187.4 237.184 365.56 -521.395
5000 6757.5 29.1628 730228 -121458 54157.5 263.233 382.653 -558.397
6000 8257.5 3.28012 730228 -121526 54095 204.08 431.292 -625.531
7000 9757.5 47.4444 730228 -121391 54149.8 262.245 413.279 -533.191
8000 11257.5 28.1281 730228 -121488 54145.5 222.944 418.908 -557.468
9000 12757.5 -20.0869 730228 -121494 54155.6 210.266 341.604 -612.131
10000 14257.5 -2.18963 730228 -121317 54233.4 210.652 403.334 -620.555
11000 15757.5 -50.2379 730228 -121443 54189.7 192.365 351.046 -694.125
12000 17257.5 -33.319 730228 -121336 54198.2 197.945 358.969 -656.871
13000 18757.5 -56.6676 730228 -121303 54120.2 183.878 360.935 -714.816
14000 20257.5 -20.3445 730228 -121342 54155.6 230.453 376.147 -667.633
15000 21757.5 46.9203 730228 -121289 54203.2 255.624 470.614 -585.478
16000 23257.5 32.0706 730228 -121407 54215.1 304.385 433.652 -641.825
17000 24757.5 27.1298 730228 -121437 54195.9 263.355 472.254 -654.22
18000 26257.5 30.0623 730228 -121429 54211.2 267.096 451.107 -628.017
19000 27757.5 -21.05 730228 -121608 54162.8 234.037 397.29 -694.477
20000 29257.5 -99.2079 730228 -121451 54139.9 163.585 329.05 -790.259
21000 30757.5 27.485 730228 -121408 54195 299.535 403.464 -620.544
22000 32257.5 8.78126 730228 -121510 54173.6 271.477 411.996 -657.129
23000 33757.5 -55.09 730228 -121605 54179.8 198.961 332.355 -696.586
24000 35257.5 -83.5642 730228 -121583 54149.1 150.124 335.344 -736.161
25000 36757.5 -6.30063 730228 -121564 54172.6 250.638 412.705 -682.246
26000 38257.5 -27.6837 730228 -121609 54107.7 275.964 356.563 -715.578
27000 39757.5 -30.7085 730228 -121493 54182.5 224.183 365.449 -681.757
28000 41257.5 -46.2568 730228 -121590 54201.5 268.813 324.464 -732.048
29000 42757.5 -5.45218 730228 -121584 54220.8 278.808 372.398 -667.562
30000 44257.5 -86.003 730228 -121632 54126.3 233.736 301.015 -792.76
31000 45757.5 -13.046 730228 -121640 54242.8 247.79 420.722 -707.65
32000 47257.5 -61.814 730228 -121785 54114.5 189.214 365.764 -740.421
33000 48757.5 -56.9274 730228 -121764 54112 223.056 311.239 -705.077
34000 50257.5 -25.804 730228 -121683 54209.3 262.69 340.421 -680.523
35000 51757.5 8.26187 730228 -121772 54187.9 249.379 396.712 -621.305
36000 53257.5 -19.0955 730228 -121814 54166.9 233.271 308.68 -599.238
37000 54757.5 -62.1672 730228 -121827 54120.8 155.849 338.696 -681.047
38000 56257.5 -73.1766 730228 -121911 54115.8 226.377 289.494 -735.401
39000 57757.5 -2.90407 730228 -121930 54189.8 275.35 401.841 -685.903
40000 59257.5 -70.3844 730228 -121863 54175.5 161.543 358.488 -731.184
41000 60757.5 -88.7272 730228 -121906 54127.4 93.5136 337.793 -697.488
42000 62257.5 -28.0398 730228 -121792 54154.2 187.684 398.441 -670.245
43000 63757.5 -73.3441 730228 -121761 54167.2 154.721 328.7 -703.453
44000 65257.5 -94.3872 730228 -121677 54209.5 192.368 290.467 -765.997
45000 66757.5 -23.4477 730228 -121766 54224.4 234.235 376.486 -681.064
46000 68257.5 -10.5161 730228 -121849 54162.5 253.329 474.003 -758.881
47000 69757.5 -37.1986 730228 -121724 54183.2 245.264 355.418 -712.278
48000 71257.5 -52.4722 730228 -121748 54182.2 215.495 371.865 -744.776
49000 72757.5 -66.231 730228 -121754 54154.9 173.331 372.35 -744.374
50000 74257.5 -51.7688 730228 -121816 54272.6 184.45 380.421 -720.177
51000 75757.5 -111.235 730228 -121915 54144.7 153.881 270.798 -758.385
52000 77257.5 -110.455 730228 -121692 54216.1 182.907 314.603 -828.876
53000 78757.5 -85.9903 730228 -121698 54224.9 221.648 296.144 -775.763
54000 80257.5 -123.508 730228 -121794 54125.6 180.856 305.118 -856.498
55000 81757.5 -114.957 730228 -121825 54165.3 173.559 329.348 -847.779
56000 83257.5 -33.8938 730228 -121741 54239.1 289.444 394.907 -786.032
57000 84757.5 -88.0693 730228 -121920 54130.9 216.341 329.645 -810.194
58000 86257.5 -138.975 730228 -121892 54195.5 198.433 268.662 -884.019
59000 87757.5 -46.211 730228 -122010 54165 248.833 414.414 -801.879
60000 89257.5 -119.956 730228 -122015 54127 157.57 302.233 -819.67
61000 90757.5 -90.9046 730228 -121958 54141.8 192.732 349 -814.446
62000 92257.5 -83.11 730228 -121916 54117.3 208.45 376.161 -833.941
63000 93757.5 -46.2663 730228 -121921 54120.4 216.032 411.292 -766.123
64000 95257.5 -73.9481 730228 -121921 54108 233.464 342.931 -798.239
65000 96757.5 -53.7366 730228 -121951 54179.5 272.469 352.444 -786.123
66000 98257.5 -84.9903 730228 -121876 54204.2 222.477 345.937 -823.385
67000 99757.5 -82.1078 730228 -121920 54195.6 255.219 333.691 -835.233
68000 101258 -92.7941 730228 -121914 54152.4 209.738 385.385 -873.505
69000 102758 -99.3237 730228 -121774 54210.3 192.023 340.546 -830.54
70000 104258 -39.4074 730228 -121921 54167.8 289.824 386.974 -795.02
71000 105758 -102.51 730228 -121984 54213.4 165.797 297.287 -770.615
72000 107258 -83.1997 730228 -121972 54201 230.605 352.506 -832.71
73000 108758 -99.8282 730228 -121813 54250.9 228.925 333.032 -861.441
74000 110258 -71.774 730228 -121881 54191.6 217.992 369.13 -802.444
75000 111758 -92.7715 730228 -122070 54164.3 195.729 356.654 -830.697
76000 113258 -44.0915 730228 -121877 54213.2 277.254 375.543 -785.071
77000 114758 -55.7882 730228 -122085 54100.8 250.364 380.943 -798.671
78000 116258 -63.8433 730228 -122063 54137.3 263.804 363.533 -818.867
79000 117758 -109.044 730228 -122089 54110.3 226.042 315.705 -868.879
80000 119258 -82.7698 730228 -121994 54141.3 297.787 320.213 -866.31
81000 120758 -86.575 730228 -121962 54175.3 215.368 369.126 -844.22
82000 122258 -58.2164 730228 -121986 54123.1 279.486 377.378 -831.514
83000 123758 -16.6566 730228 -121978 54127.1 275.974 403.434 -729.378
84000 125258 -83.6128 730228 -121902 54148.2 236.004 309.692 -796.534
85000 126758 -114.979 730228 -121883 54136 163.548 331.296 -839.78
86000 128258 -57.9981 730228 -121873 54183.2 215.32 404.208 -793.523
87000 129758 -99.8607 730228 -121837 54205.5 220.349 381.877 -901.807
88000 131258 -44.7139 730228 -121986 54143.7 298.484 400.363 -832.989
89000 132758 -46.149 730228 -122015 54173.8 267.349 377.824 -783.619
90000 134258 -54.1738 730228 -122081 54144.5 253.672 434.712 -850.905
91000 135758 -97.3397 730228 -121940 54166.2 189.764 338.159 -819.943
92000 137258 -71.2962 730228 -122000 54158.6 246.238 328.314 -788.44
93000 138758 -76.1637 730228 -121834 54168.5 212.99 325.064 -766.545
94000 140258 -43.8417 730228 -121774 54206 272.098 342.35 -745.974
95000 141758 -85.1641 730228 -121871 54143.8 225.901 353.163 -834.556
96000 143258 -35.3122 730228 -122078 54191.3 222.041 450.974 -778.952
97000 144758 -88.5535 730228 -122059 54137.4 221.792 372.337 -859.79
98000 146258 -108.973 730228 -122067 54104 147.9 374.633 -849.451
99000 147758 -93.3686 730228 -121961 54137.3 250.27 300.116 -830.491
100000 149258 -78.4938 730228 -121928 54190.2 218.627 352.332 -806.441
101000 150758 -210.034 730228 -121868 54195.3 118.426 271.706 -1020.23
102000 152258 -117.798 730228 -121835 54237.2 122.214 379.479 -855.087
103000 153758 -42.3877 730228 -121963 54200.2 227.51 405.474 -760.147
104000 155258 -80.9863 730228 -122028 54188.3 210.776 337.761 -791.496
105000 156758 -76.8149 730228 -122055 54173.1 202.439 395.849 -828.732
106000 158258 -49.7767 730228 -122134 54117.6 242.724 427.369 -819.423
107000 159758 -2.02149 730228 -121987 54161 273.149 503.041 -782.255
108000 161258 -110.438 730228 -121847 54181.8 174.473 324.866 -830.654
109000 162758 -5.68029 730228 -121917 54166.6 308.164 444.72 -769.925
110000 164258 -57.138 730228 -121916 54195.5 243.934 379.888 -795.236
111000 165758 -56.0317 730228 -122080 54084.8 267.515 366.467 -802.077
112000 167258 -63.6983 730228 -122038 54185.4 229.821 390.882 -811.799
113000 168758 -116.612 730228 -122234 54128.6 197.123 330.839 -877.796
114000 170258 -39.0144 730228 -122085 54162.3 298 380.875 -795.917
115000 171758 -55.0618 730228 -122035 54162.1 205.35 454.497 -825.032
116000 173258 -38.0951 730228 -122020 54175.6 264.989 423.877 -803.151
117000 174758 7.42448 730228 -121862 54202.8 273.166 514.21 -765.102
118000 176258 -66.2763 730228 -121970 54191 233.314 333.389 -765.532
119000 177758 -49.6319 730228 -121923 54163.8 278.008 331.681 -758.585
120000 179258 -20.6029 730228 -121935 54164.7 300.551 351.005 -713.365
121000 180758 -91.8643 730228 -121876 54155.5 175.437 309.911 -760.942
122000 182258 -86.0243 730228 -121874 54194.5 206.531 312.772 -777.376
123000 183758 -37.1744 730228 -121962 54210.3 239.309 405.34 -756.173
124000 185258 -111.538 730228 -122156 54176.3 176.622 319.66 -830.895
125000 186758 -103.77 730228 -122200 54178.9 214.031 305.07 -830.412
126000 188258 -91.1815 730228 -122311 54170.7 197.817 354.361 -825.723
127000 189758 -155.541 730228 -122207 54194.4 130.703 237.091 -834.418
128000 191258 -142.376 730228 -122068 54144.2 148.283 261.277 -836.688
129000 192758 -33.076 730228 -121984 54220.6 268.098 367.079 -734.405
130000 194258 -40.0314 730228 -122149 54184.6 233.381 352.701 -706.176
131000 195758 -18.8561 730228 -122159 54122.1 283.057 358.183 -697.809
132000 197258 -107.02 730228 -122079 54170.3 171.969 321.982 -815.011
133000 198758 -122.078 730228 -122187 54109.5 172.7 254.901 -793.836
134000 200258 -108.815 730228 -122165 54130.1 230.369 292.396 -849.21
135000 201758 -104.284 730228 -122178 54170.9 281.689 224.704 -819.245
136000 203258 -51.1992 730228 -122213 54230.6 260.128 371.773 -785.498
137000 204758 -29.4838 730228 -122250 54219.6 280.874 417.932 -787.258
138000 206258 -91.3796 730228 -122139 54208.8 210.178 352.486 -836.803
139000 207758 -96.8593 730228 -122060 54205.3 215.16 332.215 -837.953
140000 209258 -75.4637 730228 -122178 54162.8 245.466 393.191 -865.048
141000 210758 -48.8095 730228 -122189 54126.5 303.624 405.543 -855.595
142000 212258 0.275733 730228 -122206 54115.5 354.317 398.221 -751.711
143000 213758 -37.3775 730228 -121966 54194.6 242.778 364.581 -719.491
