# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
85000 76505 -378.453 730228 -116544 54197.2 499.078 744.765 -2379.2
86000 77505 -452.027 730228 -116562 54136.5 419.717 697.658 -2473.46
87000 78505 -385.57 730228 -116416 54285 449.383 783.066 -2389.16
88000 79505 -451.355 730228 -116468 54154.8 380.75 684.055 -2418.87
89000 80505 -409.567 730228 -116501 54220.6 312.356 769.24 -2310.3
90000 81505 -334.716 730228 -116459 54218.6 481.323 824.506 -2309.98
91000 82505 -309.595 730228 -116509 54257.6 511.964 797.434 -2238.18
92000 83505 -398.917 730228 -116681 54176.7 398.357 703.348 -2298.46
93000 84505 -397.242 730228 -116659 54173.3 382.977 716.543 -2291.25
94000 85505 -408.306 730228 -116525 54161.8 419.279 756.246 -2400.44
95000 86505 -392.115 730228 -116525 54229.8 455.316 773.726 -2405.39
96000 87505 -394.676 730228 -116498 54251.7 466.7 743.027 -2393.76
97000 88505 -399.386 730228 -116580 54200.8 417.117 775.686 -2390.96
98000 89505 -425.684 730228 -116628 54241.8 408.668 733.572 -2419.29
99000 90505 -402.23 730228 -116638 54207.8 374.356 761.256 -2342.3
100000 91505 -430.28 730228 -116742 54115.9 391.822 690.846 -2373.51
101000 92505 -430.088 730228 -116590 54254.6 348.608 731.131 -2370
102000 93505 -419.684 730228 -116695 54199 377.177 700.876 -2337.11
103000 94505 -366.333 730228 -116897 54143.3 372.212 801.557 -2272.77
104000 95505 -467.944 730228 -116710 54156.4 290.105 732.076 -2426.01
105000 96505 -416.131 730228 -116859 54129.3 375.956 722.07 -2346.42
106000 97505 -428.144 730228 -116891 54102.1 375.728 716.424 -2376.58
107000 98505 -390.83 730228 -116835 54246 433.034 747.535 -2353.06
108000 99505 -351.541 730228 -116967 54188.8 466.639 779.003 -2300.26
109000 100505 -399.784 730228 -116904 54205.9 351.327 751.223 -2301.9
110000 101505 -428.954 730228 -116791 54230.1 415.142 667.187 -2369.19
111000 102505 -365.694 730228 -116839 54199 476.56 780.261 -2353.9
112000 103505 -378.122 730228 -116928 54194.1 497.719 727.733 -2359.82
113000 104505 -375.097 730228 -116940 54117.2 417.779 798.119 -2341.19
114000 105505 -379.521 730228 -117027 54226.3 446.752 791.95 -2377.27
115000 106505 -384.317 730228 -117117 54151.5 370.479 816.399 -2339.83
116000 107505 -393.012 730228 -117086 54160.9 399.543 785.266 -2363.84
117000 108505 -372.535 730228 -116935 54194.4 459.927 763.649 -2341.18
118000 109505 -430.627 730228 -116892 54197.5 381.495 723.834 -2397.21
119000 110505 -345.873 730228 -116904 54200.2 431.084 852.755 -2321.46
120000 111505 -396.963 730228 -117115 54104 414.108 749.479 -2354.48
121000 112505 -349.427 730228 -117058 54187.1 452.945 813.832 -2315.06
122000 113505 -374.556 730228 -117134 54172.3 450.678 787.478 -2361.82
123000 114505 -440.959 730228 -116997 54177.7 288.225 768.854 -2379.96
124000 115505 -434.974 730228 -116901 54176.1 337.251 732.359 -2374.53
125000 116505 -373.45 730228 -117056 54154.7 418.573 829.024 -2367.95
126000 117505 -398.502 730228 -117170 54114.1 426.148 779.111 -2400.76
127000 118505 -375.367 730228 -116995 54225 449.012 827.556 -2402.67
128000 119505 -438.431 730228 -116934 54189.8 357.881 799.055 -2472.23
129000 120505 -385.987 730228 -116871 54276.6 483.717 821.321 -2463
130000 121505 -414.456 730228 -117013 54099.8 420.194 795.074 -2458.63
131000 122505 -435.621 730228 -116987 54160.8 398.2 728.745 -2433.81
132000 123505 -377.797 730228 -117071 54188 455.2 786.003 -2374.6
133000 124505 -424.963 730228 -116876 54158.3 388.112 763.484 -2426.49
134000 125505 -409.829 730228 -117107 54137.2 458.281 735.087 -2422.85
135000 126505 -439.573 730228 -117203 54093.2 434.53 686.411 -2439.66
136000 127505 -358.236 730228 -117137 54144.6 493.064 759.128 -2326.9
137000 128505 -436.825 730228 -117220 54245.7 365.542 713.212 -2389.23
138000 129505 -480.189 730228 -117302 54171.4 283.403 684.115 -2408.09
