# Time-averaged data for fix globalout
# TimeStep v_ppress v_vvol v_llx v_lly v_llz v_ppe v_kke v_ppx v_ppy v_ppz
63000 9.83138 728305 40.326 27.5363 655.877 -105527 53414.4 26.4272 -12.2623 15.3292
64000 14.9284 728391 40.3978 27.5056 655.519 -105405 53429.6 -3.07228 22.4492 25.4083
65000 -7.81972 729521 40.4644 27.5217 655.074 -105336 53434.5 -7.00804 -10.2739 -6.17723
66000 0.254167 730012 40.4295 27.5661 655.025 -105273 53416.6 22.7988 -9.71205 -12.3243
67000 2.97245 730083 40.4032 27.5621 655.607 -105075 53441.5 5.40164 11.2089 -7.69319
68000 -8.99118 730237 40.4326 27.5591 655.343 -105196 53407.5 0.101346 -9.29984 -17.7751
69000 23.8418 729749 40.4421 27.5437 655.116 -105261 53424.7 6.02929 27.399 38.0971
70000 -11.7369 729033 40.337 27.5659 655.649 -105416 53429.6 -3.98201 -7.86423 -23.3645
71000 -6.99926 729494 40.4324 27.5333 655.292 -105294 53399.2 -37.8759 16.9335 -0.0554186
72000 13.1573 729323 40.3645 27.5853 655.003 -105404 53423 29.6509 -3.37574 13.1967
73000 -5.23502 728154 40.2809 27.5772 655.503 -105333 53440.7 -20.5177 8.61257 -3.79992
74000 -2.35388 728803 40.3107 27.5759 655.634 -105176 53453.8 20.9575 -11.622 -16.3971
75000 4.40454 729058 40.3396 27.5784 655.332 -105219 53470.1 11.7388 5.02965 -3.55479
76000 -9.72064 728527 40.3608 27.5526 655.124 -105205 53479.1 -28.8669 -11.3612 11.0662
77000 7.69092 727977 40.2957 27.5535 655.666 -105294 53460.5 9.26127 18.8289 -5.01742
78000 11.4114 728432 40.3495 27.5516 655.245 -105223 53375.7 6.10481 14.5398 13.5897
79000 2.40456 729518 40.363 27.5976 654.91 -105120 53497.8 3.50134 0.632054 3.08028
80000 -9.01417 730047 40.4566 27.5623 654.707 -105002 53422.1 -8.43953 -21.8561 3.25315
81000 -1.4343 729214 40.4932 27.4886 655.119 -105175 53421.2 8.28928 -2.8449 -9.74729
82000 7.93952 729120 40.5603 27.4299 655.352 -105171 53444.5 -31.9 40.9898 14.7288
83000 -6.93639 728342 40.4419 27.5035 654.811 -105241 53412.5 -1.96931 -7.26935 -11.5705
84000 6.85325 728204 40.3715 27.5483 654.763 -105218 53434.1 8.24123 5.62657 6.69195
85000 2.58152 728610 40.2988 27.6062 654.932 -105194 53459.8 13.6884 -14.8539 8.91005
86000 -0.0854792 728446 40.2021 27.6534 655.24 -105338 53397.3 14.5733 -8.37017 -6.4596
87000 -0.213207 728513 40.2752 27.6027 655.314 -105366 53407.2 9.25605 -6.74199 -3.15369
88000 10.7755 727720 40.2834 27.5625 655.421 -105312 53417.5 15.4657 16.3469 0.513953
89000 -10.8317 727989 40.2546 27.5948 655.363 -105271 53397.1 11.3719 -35.4012 -8.46585
90000 12.1736 728252 40.3743 27.53 655.195 -105279 53412.4 15.3344 7.34009 13.8463
91000 -11.0725 728912 40.4816 27.4862 655.093 -105110 53483.7 -21.1035 2.43198 -14.5461
92000 12.6959 727807 40.4511 27.4688 655.008 -105387 53396.2 34.7051 -5.36912 8.75169
93000 -12.5176 728120 40.4675 27.4453 655.585 -105423 53389.9 -11.8148 -9.97029 -15.7676
94000 1.86645 728348 40.4867 27.4707 654.873 -105298 53451.8 -2.80066 -0.412456 8.81246
95000 2.14482 728840 40.4996 27.4817 654.842 -105387 53448.6 -8.38744 14.1427 0.679154
