# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 757.5 1560.74 730228 -132707 56086.5 1866.73 1996.46 819.026
2000 2257.5 1549.5 730228 -133013 55960.9 1872.31 1943.43 832.767
3000 3757.5 1580.68 730228 -132897 56003 1921.12 1990.87 830.053
4000 5257.5 1557.58 730228 -132846 56076.5 1924.71 1940.47 807.545
5000 6757.5 1522.29 730228 -133186 55963.7 1815.07 1924.22 827.586
6000 8257.5 1515.84 730228 -133116 55994.7 1844.47 1920.21 782.822
7000 9757.5 1552.38 730228 -132824 56076.2 1895.31 1974.84 786.978
8000 11257.5 1535.26 730228 -132998 56052.9 1838.55 1959.82 807.417
9000 12757.5 1521.12 730228 -133138 56005.1 1829.4 1916.91 817.066
10000 14257.5 1486.75 730228 -133049 56050.3 1760.78 1882.75 816.708
11000 15757.5 1554.94 730228 -133043 56091.2 1797.44 2003.7 863.69
12000 17257.5 1510.47 730228 -133102 56010.5 1774.54 1958.83 798.027
13000 18757.5 1491.45 730228 -133132 56041.1 1788.07 1907.88 778.419
14000 20257.5 1458.16 730228 -133141 55989.7 1798.6 1861.69 714.197
15000 21757.5 1480.01 730228 -133229 56005.1 1774.37 1943.29 722.374
16000 23257.5 1416.21 730228 -133227 55964.1 1740.54 1843.37 664.717
17000 24757.5 1507.3 730228 -133239 56071.9 1833.09 1888.06 800.752
18000 26257.5 1461.44 730228 -133351 56014.4 1813.09 1836.86 734.374
19000 27757.5 1463.5 730228 -133337 55983.3 1790.95 1864.38 735.163
20000 29257.5 1483.45 730228 -133273 56054 1861.47 1847.83 741.055
21000 30757.5 1464.24 730228 -133253 56034.4 1824.71 1864.82 703.193
22000 32257.5 1542.83 730228 -133192 56067 1885.44 1917.88 825.157
23000 33757.5 1459.74 730228 -133172 56004.8 1796.01 1854.27 728.955
24000 35257.5 1532.02 730228 -133194 56036.1 1816.96 1953 826.098
25000 36757.5 1417.21 730228 -133261 55958.7 1757.53 1864.85 629.238
26000 38257.5 1476.34 730228 -133268 55993.2 1779.28 1983.45 666.293
27000 39757.5 1517.18 730228 -133411 55987.7 1861.19 2009.09 681.267
28000 41257.5 1510.7 730228 -133226 56072.4 1812.53 1944.32 775.244
29000 42757.5 1457.98 730228 -133234 56002.6 1820.7 1870.25 682.991
30000 44257.5 1436.88 730228 -133126 56084.3 1798.18 1934.02 578.441
31000 45757.5 1441.31 730228 -133285 55966.7 1830.29 1917.75 575.904
32000 47257.5 1409.65 730228 -133343 56035.1 1763.24 1850.96 614.742
33000 48757.5 1435.45 730228 -133471 55960.8 1838.82 1896.48 571.066
34000 50257.5 1481.28 730228 -133398 55993.1 1905.93 1913.96 623.941
35000 51757.5 1462.78 730228 -133363 56008.3 1833.84 1862.99 691.508
36000 53257.5 1465.65 730228 -133426 56004.4 1810.88 1942.02 644.042
37000 54757.5 1527.9 730228 -133437 55961 1926.89 1890.19 766.615
38000 56257.5 1494.68 730228 -133356 56034.2 1919.39 1847.16 717.488
39000 57757.5 1445.24 730228 -133252 56049.2 1870.81 1818.54 646.379
