# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 101 9856.47 730228 -91837 50712.2 10407.5 11805 7356.9
2000 301 6499.56 730228 -102346 59738.2 7280.09 8458.74 3759.86
3000 501 5223.16 730228 -106654 58119.5 6110.95 7135.06 2423.47
4000 701 4709.85 730228 -109923 56732.8 5576.84 6439.97 2112.74
5000 901 4308.39 730228 -112497 56118.8 5277.88 5854.68 1792.59
6000 1101 4093.17 730228 -114037 55870.9 5314.69 5544.23 1420.6
7000 1301 3987.69 730228 -114806 56018.4 5157.85 5383.61 1421.62
8000 1501 3816.81 730228 -115520 56059.5 4982.26 5172.1 1296.08
9000 1701 3630.16 730228 -116130 55907 4706.28 4895.05 1289.16
10000 1901 3425.15 730228 -116484 56035.2 4648.83 4809.35 817.263
11000 2505 3061.01 730228 -117693 55988.6 4078.37 4491.5 613.162
12000 3505 2708.75 730228 -119460 55973.6 3688.12 4137.41 300.723
13000 4505 2501.35 730228 -120610 56072.2 3466.74 3953.29 84.0143
14000 5505 2273.47 730228 -121474 56021.5 3273.94 3580.71 -34.2219
15000 6505 2085.4 730228 -122306 55994.9 3109.17 3413.67 -266.651
16000 7505 2048.3 730228 -122737 56059.6 2983.55 3357.19 -195.827
17000 8505 1916.48 730228 -123132 56052 2865.58 3229.6 -345.731
18000 9505 1822.98 730228 -123635 55992.9 2780.41 3070.28 -381.746
19000 10505 1688.36 730228 -124131 55971 2650.27 3016.34 -601.536
20000 11505 1674.92 730228 -124442 55967.7 2606.3 3013.99 -595.541
21000 12505 1622.55 730228 -124867 56009.9 2566.57 2886.25 -585.171
22000 13505 1516.39 730228 -124828 56061.3 2494.9 2801.94 -747.669
23000 14505 1419.78 730228 -125174 56014.9 2318.06 2785.81 -844.532
24000 15505 1411.04 730228 -125340 55970.4 2329.16 2707.34 -803.385
25000 16505 1378.86 730228 -125329 56092.4 2317.5 2681.17 -862.079
26000 17505 1399.65 730228 -125466 56016.5 2407.79 2680.06 -888.888
27000 18505 1387.86 730228 -125623 56028.3 2400.84 2632.07 -869.316
28000 19505 1387.76 730228 -125773 56083.4 2374.59 2623.21 -834.517
29000 20505 1326.55 730228 -125894 55986 2281.88 2539.8 -842.039
30000 21505 1320.76 730228 -125963 56046.6 2270.44 2530.88 -839.027
31000 22505 1322.11 730228 -126186 55971 2300.37 2588.5 -922.536
32000 23505 1276.49 730228 -126294 55940.5 2233.44 2553.13 -957.092
33000 24505 1235.08 730228 -126331 56022.1 2247.15 2457.55 -999.463
34000 25505 1222.42 730228 -126551 55977.5 2236.23 2447.11 -1016.06
35000 26505 1191.22 730228 -126614 55951.6 2130.11 2476.24 -1032.68
36000 27505 1178.15 730228 -126527 56084.1 2163.32 2485.1 -1113.99
37000 28505 1289.54 730228 -126618 55997.3 2204.49 2606.6 -942.456
38000 29505 1311.62 730228 -126745 56040.7 2245.96 2571.65 -882.742
39000 30505 1252.89 730228 -126616 56038.2 2210.34 2511.61 -963.272
40000 31505 1229.7 730228 -126657 56072.7 2163.39 2472.45 -946.736
41000 32505 1186.86 730228 -126808 56011 2132.08 2439.43 -1010.92
42000 33505 1191.8 730228 -126876 56020.9 2088.34 2368.71 -881.652
43000 34505 1250.66 730228 -126937 55986.8 2177.2 2441.09 -866.321
44000 35505 1143.14 730228 -127023 55964.2 1994.15 2432.05 -996.792
45000 36505 1246.66 730228 -127082 55953.3 2149.81 2473.55 -883.372
46000 37505 1187.99 730228 -127097 56030.9 2162.28 2339.39 -937.687
47000 38505 1256.91 730228 -127231 55978.3 2214.42 2420.69 -864.38
48000 39505 1182.54 730228 -127258 55952.9 2148.29 2340.79 -941.464
49000 40505 1229.22 730228 -127235 56071.3 2162.08 2394.17 -868.579
50000 41505 1281.89 730228 -127240 56041.6 2153.1 2454.62 -762.057
51000 42505 1242.18 730228 -127311 55976.9 2140.67 2433.92 -848.06
52000 43505 1179.65 730228 -127331 56028.4 2044.57 2370.26 -875.895
53000 44505 1199.41 730228 -127366 56061.3 2037.37 2433.04 -872.187
54000 45505 1175.28 730228 -127482 56053.5 2129.52 2339.76 -943.45
55000 46505 1108.26 730228 -127580 55951.4 1977.56 2365.04 -1017.8
56000 47505 1170.76 730228 -127513 56072.3 2070.24 2359.75 -917.707
57000 48505 1236.45 730228 -127457 56067.1 2109.97 2499.03 -899.653
58000 49505 1139.82 730228 -127530 55994.1 2040.17 2388.88 -1009.61
59000 50505 1183.09 730228 -127569 56071.4 2054.34 2427.39 -932.465
60000 51505 1129.15 730228 -127678 56017.9 2021.43 2356.78 -990.76
61000 52505 1163.2 730228 -127692 55995.8 2007.33 2438.71 -956.448
62000 53505 1125.35 730228 -127603 56005.7 2014.74 2357.41 -996.087
63000 54505 1117.83 730228 -127726 55972.5 2028.18 2369.66 -1044.35
64000 55505 1189.55 730228 -127642 56070.1 2088.72 2426.54 -946.609
65000 56505 1206.86 730228 -127624 56054.3 2039.25 2494.62 -913.308
66000 57505 1098.15 730228 -127610 56015 1988.03 2347.52 -1041.09
67000 58505 1083.53 730228 -127773 55912.8 1910.67 2362.67 -1022.76
68000 59505 1214.36 730228 -127716 56063.7 2091.34 2522.41 -970.655
69000 60505 1205.6 730228 -127665 56008.6 2055.97 2465.45 -904.627
70000 61505 1118.66 730228 -127819 55933.1 2004.39 2358.37 -1006.77
71000 62505 1111.15 730228 -127792 55890.7 1959.3 2393.47 -1019.31
72000 63505 1182.49 730228 -127675 56031.6 2094.49 2422.01 -969.034
73000 64505 1191.54 730228 -127646 56082.2 2103.96 2449.11 -978.443
74000 65505 1220.31 730228 -127780 56030.6 2078.99 2472.37 -890.432
75000 66505 1078.79 730228 -128070 55943.5 2008.44 2334.52 -1106.57
76000 67505 1152.9 730228 -127868 56028.4 2132.42 2411.72 -1085.42
77000 68505 1148.98 730228 -127846 55961.3 2078.33 2433.21 -1064.61
78000 69505 1084.51 730228 -127747 56074.7 1962.25 2412.46 -1121.17
79000 70505 1169.97 730228 -127834 56035.1 2104.17 2472.92 -1067.18
