# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 101 25865.8 730228 -128877 58550.6 26582 28073.1 22942.3
2000 301 21726 730228 -140300 67601.7 22515.9 23853.2 18809
3000 501 19992.6 730228 -145496 66214.4 20925 21831.5 17221.3
4000 701 18860.2 730228 -149739 64767 19913.6 20559.1 16107.9
5000 901 18173.5 730228 -152874 63663.3 19348.6 19572.1 15599.7
6000 1101 17503.5 730228 -155067 63290.7 18504.1 19183.1 14823.2
7000 1301 17050.9 730228 -156412 63274.9 18087.8 18711.9 14353
8000 1501 16947.6 730228 -157266 63414.4 17982.4 18497.6 14362.8
9000 1701 16588.3 730228 -157986 63299.9 17683.8 18123.7 13957.5
10000 1901 16503.6 730228 -158711 63404.1 17521.3 18120.3 13869.3
11000 2505 15936.9 730228 -159912 63354.6 17026.2 17318.2 13466.3
12000 3505 15358.4 730228 -161640 63374.2 16410.4 16774 12890.9
13000 4505 14869.3 730228 -162676 63332 15930.3 16334.8 12342.7
14000 5505 14593 730228 -163465 63372.7 15706.8 15881.4 12190.7
15000 6505 14280.4 730228 -164082 63417 15359.9 15644 11837.2
16000 7505 14209.8 730228 -164685 63429.8 15336 15558 11735.5
17000 8505 13999.2 730228 -165246 63378.8 15091.6 15434.7 11471.4
18000 9505 13896.2 730228 -165769 63388.1 14987.7 15241.6 11459.4
19000 10505 13746.9 730228 -166239 63382.8 14744.3 15134.4 11362.1
20000 11505 13713.7 730228 -166499 63427.5 14709.1 15078.1 11354
21000 12505 13638.4 730228 -166800 63346.7 14629.9 15010.8 11274.5
22000 13505 13633.3 730228 -167020 63370.1 14642.5 15024.1 11233.2
23000 14505 13572.1 730228 -167155 63372.2 14498.9 14947.3 11270.1
24000 15505 13493.3 730228 -167397 63368.2 14487.7 14881.2 11111.1
25000 16505 13530.4 730228 -167498 63382.8 14543.3 14945.3 11102.6
26000 17505 13401.8 730228 -167601 63440.8 14389.2 14803.5 11012.6
27000 18505 13403.5 730228 -167939 63333.5 14412.9 14682.7 11114.8
28000 19505 13339 730228 -168046 63283 14374.8 14646.2 10996.1
29000 20505 13384.7 730228 -168139 63341.9 14295.2 14728.6 11130.3
30000 21505 13331 730228 -167998 63428.6 14171.9 14730.6 11090.6
31000 22505 13218.3 730228 -168212 63319.1 14007.7 14623.2 11024
32000 23505 13302.7 730228 -168329 63380.7 14240.2 14663.5 11004.4
33000 24505 13244.4 730228 -168543 63271.7 14204.4 14610.2 10918.6
34000 25505 13226.5 730228 -168469 63349.6 14148.8 14640.8 10889.8
35000 26505 13162.6 730228 -168628 63295.7 14046.4 14506.3 10935.1
36000 27505 13205.9 730228 -168718 63360.9 14121.3 14557.6 10938.9
37000 28505 13230.5 730228 -168924 63307.7 14188.9 14534.7 10967.8
38000 29505 13238.2 730228 -168941 63303.8 14115.6 14542.5 11056.5
39000 30505 13291.4 730228 -168906 63398.2 14142.5 14609.8 11121.8
40000 31505 13226.6 730228 -168909 63400.1 14062.6 14518.1 11099
41000 32505 13226.4 730228 -169069 63325.7 14161.8 14455.5 11061.7
42000 33505 13204.3 730228 -169148 63307.7 14175.2 14395.6 11042.1
43000 34505 13179.4 730228 -169018 63453.9 14081.9 14465.4 10990.9
44000 35505 13183.4 730228 -169036 63373.5 14062.9 14465.2 11022
45000 36505 13205.8 730228 -168999 63416.7 14124.5 14452.6 11040.2
46000 37505 13226.4 730228 -169035 63444.1 14150.2 14515.7 11013.2
47000 38505 13187.2 730228 -169169 63354.8 14142.6 14462.1 10956.9
48000 39505 13180.7 730228 -169226 63352.2 14064.2 14466 11011.7
49000 40505 13087.8 730228 -169411 63333.2 14005.2 14302.5 10955.7
50000 41505 13118.6 730228 -169374 63280.6 14042.4 14291.9 11021.5
51000 42505 13144.9 730228 -169350 63394 14098.1 14341.9 10994.8
52000 43505 13107.5 730228 -169301 63409.1 14110.4 14238.1 10974
53000 44505 13112.2 730228 -169468 63394.3 14052.9 14328 10955.8
54000 45505 13119.9 730228 -169474 63338.3 13980.1 14303 11076.5
55000 46505 13085.1 730228 -169546 63321.4 13872.4 14384.9 10998
56000 47505 13095.3 730228 -169550 63403 13972.8 14369.1 10944.1
57000 48505 13090.6 730228 -169789 63325.6 13857 14429 10985.7
58000 49505 13102.9 730228 -169771 63401.3 13941.9 14319.4 11047.4
59000 50505 13073.1 730228 -169795 63420.7 13887.8 14348.4 10983
60000 51505 13126.8 730228 -169775 63416.3 14069.7 14279.7 11031.2
61000 52505 13068 730228 -169901 63330.5 14019.6 14268.8 10915.5
62000 53505 13040.8 730228 -169854 63266.1 13920.2 14290 10912.2
63000 54505 13065 730228 -169713 63376.6 13974.9 14335.5 10884.6
64000 55505 13109.2 730228 -170009 63333.6 14048.5 14381.4 10897.6
65000 56505 13021.9 730228 -169880 63341.7 13871.9 14422.5 10771.2
66000 57505 13054.4 730228 -169996 63278.3 13916.4 14381.6 10865.2
67000 58505 13058.5 730228 -169903 63409.9 13872.9 14388.3 10914.4
68000 59505 13010 730228 -170078 63301.8 13877.4 14356.7 10795.8
69000 60505 13077.3 730228 -169880 63364.5 13973.4 14330.6 10927.8
70000 61505 13080.4 730228 -169907 63356.7 13897.2 14375 10968.9
71000 62505 13133.1 730228 -169850 63466.4 13982.5 14466.9 10949.8
72000 63505 13171.6 730228 -169935 63402.9 14041.1 14422.4 11051.3
73000 64505 13101.9 730228 -170095 63362.3 14022.4 14337.5 10945.8
74000 65505 13052.3 730228 -170119 63318 13894.5 14328.1 10934.2
75000 66505 13067.2 730228 -170008 63435.1 13908.9 14403.4 10889.3
76000 67505 12962.6 730228 -169999 63390.7 13859.9 14295.3 10732.7
