# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 101 35664.1 730228 -154301 52887 36446.7 37983.5 32562
2000 301 32502.1 730228 -160176 65800.5 33370.8 34569.3 29566.3
3000 501 31264.8 730228 -161594 68660.8 32082.5 33457.6 28254.3
4000 701 30162.2 730228 -165170 67629.1 31164 32098.7 27223.9
5000 901 29212 730228 -167871 66964.4 30296.5 31242.5 26097.2
6000 1101 28303.9 730228 -169867 67046.8 29434 30177.2 25300.6
7000 1301 27767.9 730228 -171217 66960.4 28833.9 29466.2 25003.6
8000 1501 27673.1 730228 -172122 67003.9 28720.9 29286.6 25011.9
9000 1701 27425.8 730228 -172908 67103 28549.5 29123 24605
10000 1901 27039.2 730228 -173693 66977 28133.8 28795.3 24188.5
11000 2505 26502.1 730228 -175081 67028.7 27612.6 28130.3 23763.3
12000 3505 25807.9 730228 -176853 67012.6 26899.5 27456.5 23067.7
13000 4505 25388.3 730228 -177859 67048.8 26521.2 27025.7 22618.1
14000 5505 25024.5 730228 -178744 67098.2 26168.9 26610.7 22293.9
15000 6505 24747.9 730228 -179438 67040.5 25849.5 26317.3 22076.7
16000 7505 24565.1 730228 -180080 67065.9 25691.2 26031.2 21972.9
17000 8505 24433.2 730228 -180582 67027.3 25577 25824.3 21898.4
18000 9505 24256.7 730228 -181009 67033.5 25255.6 25780.1 21734.3
19000 10505 24169.3 730228 -181380 67110.2 25276.3 25626.1 21605.5
20000 11505 24139.9 730228 -181715 67080 25208.9 25657.1 21553.6
21000 12505 24085.4 730228 -182093 67082.2 25147.6 25537.4 21571.2
22000 13505 24028.4 730228 -182349 67117.7 25154.6 25380.7 21550
23000 14505 23982.4 730228 -182374 67059.2 25051.5 25375.2 21520.5
24000 15505 23965.5 730228 -182750 67100.5 25015 25419.6 21461.9
25000 16505 23803.9 730228 -182909 67094.1 24802.9 25277.4 21331.2
26000 17505 23673.4 730228 -183282 67020.1 24690.2 25134.8 21195.3
27000 18505 23651.6 730228 -183223 67110 24736.8 25069.6 21148.3
