# Time-averaged data for fix myglobalout1
# TimeStep v_ttime v_ppress v_vvol v_ppe v_kke v_ppx v_ppy v_ppz
1000 101 11330.9 730228 -57752 58620.6 11999.5 13446.1 8547.26
2000 301 5431.79 730228 -77839.3 67637.9 6404.55 7778.94 2111.88
3000 501 3786.72 730228 -84835.8 61458.3 4701.74 5879.01 779.391
4000 701 2704.99 730228 -90712.4 57086.7 3516.69 4526.67 71.6182
5000 901 2106.67 730228 -95394.5 54395.6 3330.36 3635.73 -646.076
6000 1101 1837.44 730228 -98126.8 53141.6 3019.18 3192.79 -699.635
7000 1301 1796.82 730228 -98890.2 53279.7 2884.97 3171.97 -666.48
8000 1501 1498.37 730228 -98844.2 53662.2 2641.64 2822.04 -968.567
9000 1701 1399.09 730228 -99707.3 53521 2378.48 2846.32 -1027.54
10000 1901 1083.98 730228 -100749 53180.9 2124.45 2350.72 -1223.23
11000 2505 1012.14 730228 -101486 53481.5 2065.14 2352.6 -1381.32
12000 3505 552.214 730228 -102931 53455.5 1609.34 1834.8 -1787.5
13000 4505 373.701 730228 -103887 53545.1 1395.74 1649.38 -1924.02
14000 5505 122.434 730228 -105096 53422.6 1120.81 1418.05 -2171.56
15000 6505 -41.3709 730228 -105662 53494.2 949.382 1226.71 -2300.2
16000 7505 -217.75 730228 -106121 53466.8 800.96 982.261 -2436.47
17000 8505 -319.14 730228 -106693 53435.7 750.042 874.456 -2581.92
18000 9505 -375.455 730228 -107200 53474.4 642.707 850.405 -2619.48
19000 10505 -492.886 730228 -107515 53459.6 519.096 718.598 -2716.35
20000 11505 -516.07 730228 -107857 53458.6 459.379 647.945 -2655.53
21000 12505 -545.374 730228 -108250 53420 416.218 625.346 -2677.68
22000 13505 -589.176 730228 -108379 53465.2 369.004 560.657 -2697.19
23000 14505 -659.036 730228 -108660 53397.4 269.246 480.008 -2726.36
24000 15505 -678.348 730228 -108967 53340.2 270.724 429.622 -2735.39
25000 16505 -660.602 730228 -109006 53447.3 276.878 444.045 -2702.73
26000 17505 -733.327 730228 -109237 53484.5 161.756 466.966 -2828.7
27000 18505 -664.44 730228 -109576 53436.6 243.272 433.599 -2670.19
28000 19505 -705.607 730228 -109613 53480.1 222.756 440.667 -2780.24
29000 20505 -704.891 730228 -109588 53493.3 246.014 393.751 -2754.44
30000 21505 -704.177 730228 -109873 53399.7 202.467 405.02 -2720.02
31000 22505 -744.295 730228 -110044 53488.6 185.3 375.946 -2794.13
32000 23505 -720.518 730228 -110130 53436.2 187.481 426.968 -2776
33000 24505 -772.802 730228 -110033 53477.9 126.558 399.849 -2844.81
34000 25505 -802.969 730228 -110097 53441.7 65.7197 360.093 -2834.72
35000 26505 -848.164 730228 -110154 53349.1 46.9083 332.411 -2923.81
36000 27505 -871.848 730228 -110194 53434.5 75.1022 278.52 -2969.17
37000 28505 -810.68 730228 -110271 53440.8 194.57 279.293 -2905.9
38000 29505 -785.561 730228 -110441 53446.2 159.029 300.368 -2816.08
39000 30505 -837.62 730228 -110664 53410.6 146.443 230.434 -2889.74
40000 31505 -832.216 730228 -110511 53440.8 102.814 309.447 -2908.91
41000 32505 -908.365 730228 -110645 53428.2 -3.16248 273.308 -2995.24
42000 33505 -859.397 730228 -110843 53356.7 59.8382 344.969 -2983
43000 34505 -912.878 730228 -110752 53452 13.1209 254.01 -3005.76
44000 35505 -872.535 730228 -110684 53454.5 28.1552 279.791 -2925.55
45000 36505 -851 730228 -110697 53448.1 101.436 265.951 -2920.39
46000 37505 -841.082 730228 -110594 53489.3 108.129 302.632 -2934.01
47000 38505 -838.476 730228 -110787 53433.3 111.144 312.627 -2939.2
48000 39505 -853.82 730228 -110770 53421 102.149 257.362 -2920.97
49000 40505 -855.34 730228 -110847 53503.3 109.886 272.606 -2948.51
50000 41505 -831.562 730228 -110798 53500.2 72.044 355.451 -2922.18
51000 42505 -819.199 730228 -110895 53419.4 87.0401 336.505 -2881.14
52000 43505 -787.931 730228 -111073 53430.6 122.961 313.653 -2800.41
53000 44505 -887.829 730228 -110972 53424 11.012 229.005 -2903.5
54000 45505 -825.555 730228 -111037 53481.6 89.7283 255.868 -2822.26
55000 46505 -818.604 730228 -111197 53465.4 32.046 307.308 -2795.16
56000 47505 -749.884 730228 -111094 53493.8 172.598 334.997 -2757.25
57000 48505 -850.998 730228 -111010 53477.4 99.8424 258.829 -2911.67
58000 49505 -853.38 730228 -111304 53349.6 53.0482 297.394 -2910.58
59000 50505 -898.447 730228 -111220 53352.2 45.9185 210.797 -2952.06
60000 51505 -882.328 730228 -111297 53376.2 18.4763 280.854 -2946.31
61000 52505 -845.01 730228 -111272 53387.5 56.3253 330.59 -2921.95
62000 53505 -912.749 730228 -111109 53447 43.9189 201.636 -2983.8
63000 54505 -819.72 730228 -111262 53459.8 98.0311 287.621 -2844.81
64000 55505 -789.013 730228 -111335 53487.5 112.42 394.152 -2873.61
65000 56505 -868.941 730228 -111395 53407.7 66.7922 245.518 -2919.13
66000 57505 -881.116 730228 -111245 53470.7 1.00116 279.998 -2924.35
67000 58505 -879.206 730228 -111395 53511.2 -12.6655 245.153 -2870.11
68000 59505 -846.764 730228 -111378 53488.4 51.1792 271.636 -2863.11
69000 60505 -874.134 730228 -111302 53478.8 -9.94893 258.989 -2871.44
70000 61505 -842.366 730228 -111438 53458 -1.41228 313.176 -2838.86
71000 62505 -789.654 730228 -111556 53386.5 34.7999 323.158 -2726.92
72000 63505 -808.019 730228 -111514 53411.4 -0.425692 349.266 -2772.9
73000 64505 -927.562 730228 -111548 53421.1 -103.554 234.834 -2913.97
74000 65505 -946.155 730228 -111495 53431.6 -71.7462 189.667 -2956.39
75000 66505 -965.573 730228 -111506 53489.6 -51.2848 125.367 -2970.8
76000 67505 -914.199 730228 -111611 53467.6 8.51554 194.721 -2945.83
77000 68505 -915.943 730228 -111570 53438 -114.656 262.656 -2895.83
78000 69505 -952.807 730228 -111652 53397.5 -159.757 279.821 -2978.48
79000 70505 -830.659 730228 -111689 53457.6 8.51157 314.419 -2814.91
80000 71505 -930.135 730228 -111652 53459.9 -120.869 258.822 -2928.36
81000 72505 -912.3 730228 -111707 53426.2 -146.1 303.331 -2894.13
82000 73505 -892.564 730228 -111725 53447.5 -55.336 267.368 -2889.73
83000 74505 -888.648 730228 -111831 53383.2 -41.3675 261.798 -2886.38
84000 75505 -868.011 730228 -111738 53500.8 -37.198 293.892 -2860.73
85000 76505 -913.952 730228 -111819 53472.4 -46.4951 199.105 -2894.47
86000 77505 -966.942 730228 -111893 53412.6 -121.462 222.391 -3001.76
87000 78505 -911.447 730228 -111864 53460.7 -102.218 313.821 -2945.94
88000 79505 -958.939 730228 -111901 53370.4 -149.696 241.777 -2968.9
89000 80505 -970.029 730228 -111895 53497.2 -169.235 231.318 -2972.17
90000 81505 -994.914 730228 -111969 53475.7 -191.588 179.386 -2972.54
91000 82505 -946.617 730228 -111959 53435.9 -80.8812 216.712 -2975.68
92000 83505 -927.825 730228 -111947 53501.3 -132.286 258.917 -2910.1
93000 84505 -937.149 730228 -111891 53477.5 -114.061 278.958 -2976.35
94000 85505 -889.135 730228 -112008 53398.7 -96.2601 272.732 -2843.88
95000 86505 -898.152 730228 -112118 53395.3 -91.425 310.975 -2914.01
